Time,actual_gap1,actual_gap2,des_gap1,des_gap2,TargetVelocity
8.419997,39.38427,30.97437,38.20703,29.85753,33.33333
8.439997,39.47248,31.05791,38.2971,29.94368,33.33333
8.459997,39.56064,31.14148,38.38711,30.02985,33.33333
8.479997,39.64877,31.22509,38.47707,30.11604,33.33333
8.499997,39.73685,31.30873,38.56697,30.20226,33.33333
8.519997,39.82488,31.39242,38.65682,30.2885,33.33333
8.539997,39.91288,31.47614,38.74661,30.37477,33.33333
8.559997,40.00082,31.55989,38.83635,30.46105,33.33333
8.579997,40.08872,31.64367,38.92603,30.54736,33.33333
8.599997,40.17657,31.7275,39.01566,30.63368,33.33333
8.619997,40.26437,31.81135,39.10522,30.72002,33.33333
8.639997,40.35212,31.89523,39.19473,30.80639,33.33333
8.659997,40.43983,31.97914,39.28417,30.89277,33.33333
8.679996,40.52749,32.06309,39.37356,30.97916,33.33333
8.699997,40.61509,32.14706,39.46289,31.06557,33.33333
8.719996,40.70264,32.23106,39.55215,31.152,33.33333
8.739997,40.79015,32.31509,39.64136,31.23844,33.33333
8.759997,40.87761,32.39915,39.7305,31.3249,33.33333
8.779997,40.965,32.48323,39.81958,31.41137,33.33333
8.799997,41.05235,32.56734,39.90859,31.49785,33.33333
8.819997,41.13964,32.65147,39.99754,31.58434,33.33333
8.839997,41.22688,32.73562,40.08643,31.67085,33.33333
8.859997,41.31406,32.8198,40.17525,31.75736,33.33333
8.879997,41.40118,32.904,40.264,31.84389,33.33333
8.899997,41.48825,32.98822,40.35269,31.93042,33.33333
8.919997,41.57526,33.07246,40.44131,32.01696,33.33333
8.939997,41.66221,33.15673,40.52986,32.10351,33.33333
8.959997,41.7491,33.24101,40.61834,32.19006,33.33333
8.979997,41.83593,33.32532,40.70676,32.27663,33.33333
8.999997,41.9227,33.40963,40.7951,32.36319,33.33333
9.019997,42.00941,33.49397,40.88337,32.44976,33.33333
9.039997,42.09607,33.57832,40.97157,32.53634,33.33333
9.059997,42.18266,33.66269,41.0597,32.62292,33.33333
9.079997,42.26918,33.74707,41.14776,32.7095,33.33333
9.099997,42.35565,33.83147,41.23574,32.79608,33.33333
9.119997,42.44205,33.91588,41.32365,32.88266,33.33333
9.139997,42.52839,34.0003,41.41148,32.96925,33.33333
9.159997,42.61465,34.08474,41.49924,33.05583,33.33333
9.179996,42.70086,34.16918,41.58693,33.14241,33.33333
