Time,Fx,Lambda
18.59999,1197.312,0
18.61999,1193.18,0
18.63999,1189.054,0
18.65999,1184.936,0
18.67999,1180.827,0
18.69999,1176.722,0
18.71999,1172.626,0
18.73999,1168.539,0
18.75999,1164.458,0
18.77999,1160.386,0
18.79999,1156.32,0
18.81999,1152.264,0
18.83999,1148.212,0
18.85999,1144.17,0
18.87999,1140.136,0
18.89999,1136.109,0
18.91999,1132.088,0
18.93999,1128.078,0
18.95999,1124.075,0
18.97999,1120.08,0
18.99999,1116.091,0
19.01999,1112.111,0
19.03999,1108.14,0
19.05999,1104.177,0
19.07999,1100.222,0
19.09999,1096.276,0
19.11999,1092.337,0
19.13999,1088.407,0
19.15999,1084.483,0
19.17999,1080.567,0
19.19999,1076.66,0
19.21999,1072.762,0
19.23999,1068.871,0
19.25999,1064.989,0
19.27999,1061.116,0
19.29999,1057.251,0
19.31999,1053.393,0
19.33999,1049.543,0
19.35999,1045.703,0
19.37999,1041.87,0
19.39999,1038.046,0
19.41999,1034.229,0
19.43999,1030.423,0
19.45999,1026.622,0
19.47999,1022.832,0
19.49999,1019.05,0
19.51999,1015.277,0
19.53999,1011.511,0
19.55999,1007.754,0
19.57999,1004.007,0
19.59999,1000.269,0
19.61999,996.5388,0
19.63999,992.8178,0
19.65999,989.1049,0
19.67999,985.399,0
19.69999,981.7038,0
19.71999,978.0165,0
19.73999,974.3378,0
19.75999,970.6677,0
19.77999,967.0078,0
19.79999,963.3558,0
19.81999,959.7108,0
19.83999,956.0758,0
19.85999,952.4488,0
19.87999,948.8323,0
19.89999,945.2234,0
19.91999,941.6248,0
19.93999,938.0341,0
19.95999,934.4517,0
19.97999,930.8777,0
19.99999,927.3138,0
20.01999,923.7576,0
20.03999,920.2114,0
20.05999,916.6731,0
20.07999,913.1429,0
20.09999,909.6243,0
20.11999,906.113,0
20.13999,902.6097,0
20.15999,899.1146,0
20.17999,895.6309,0
20.19999,892.1547,0
20.21999,888.685,0
20.23999,885.2271,0
20.25999,881.778,0
20.27999,878.3385,0
20.29999,874.9072,0
20.31999,871.4852,0
20.33999,868.072,0
20.35999,864.6673,0
20.37999,861.2723,0
20.39999,857.886,0
20.41999,854.5096,0
20.43999,851.1416,0
20.45999,847.7833,0
20.47999,844.4323,0
20.49999,841.0928,0
20.51999,837.76,0
20.53999,834.4387,0
20.55999,831.1226,0
20.57999,827.8184,0
20.59999,824.5226,0
20.61999,821.2348,0
20.63999,817.9562,0
20.65999,814.6885,0
20.67999,811.431,0
20.69999,808.179,0
20.71999,804.9367,0
20.73999,801.7045,0
20.75999,798.48,0
20.77999,795.2645,0
20.79999,792.0592,0
20.81999,788.8644,0
20.83999,785.6737,0
20.85999,782.4967,0
20.87999,779.3293,0
20.89999,776.1686,0
20.91999,773.0175,0
20.93999,769.8746,0
20.95999,766.7432,0
20.97999,763.6182,0
20.99999,760.5052,0
21.01999,757.4004,0
21.03999,754.3028,0
21.05999,751.2147,0
21.07999,748.1354,0
21.09999,745.0679,0
21.11999,742.0067,0
21.13999,738.9558,0
21.15999,735.9118,0
21.17999,732.8793,0
21.19999,729.8546,0
21.21999,726.839,0
21.23999,723.8335,0
21.25999,720.8376,0
21.27999,717.8489,0
21.29999,714.8705,0
21.31999,711.9018,0
21.33999,708.9404,0
21.35999,705.9875,0
21.37999,703.0431,0
21.39999,700.1085,0
21.41999,697.1839,0
21.43999,694.2674,0
21.45999,691.3608,0
21.47999,688.4625,0
21.49999,685.5727,0
21.51999,682.6931,0
21.53999,679.8236,0
21.55999,676.9624,0
21.57999,674.1094,0
21.59999,671.2617,0
21.61999,668.4277,0
21.63999,665.6011,0
21.65999,662.7829,0
21.67999,659.9744,0
21.69999,657.1739,0
21.71999,654.3824,0
21.73999,651.6021,0
21.75999,648.8262,0
21.77999,646.0643,0
21.79999,643.3082,0
21.81999,640.5617,0
21.83999,637.822,0
21.85999,635.0942,0
21.87999,632.3735,0
21.89999,629.6616,0
21.91999,626.9594,0
21.93999,624.265,0
21.95999,621.5796,0
21.97999,618.9058,0
21.99999,616.2366,0
22.01999,613.5798,0
22.03999,610.928,0
22.05999,608.2871,0
22.07999,605.6533,0
22.09999,603.0292,0
22.11999,600.4151,0
22.13999,597.8084,0
22.15999,595.2098,0
22.17999,592.6221,0
22.19999,590.0418,0
22.21999,587.4694,0
22.23999,584.9054,0
22.25999,582.3495,0
22.27999,579.804,0
22.29999,577.2665,0
22.31999,574.737,0
22.33999,572.2166,0
22.35999,569.7042,0
22.37999,567.2028,0
22.39999,564.7074,0
22.41999,562.2226,0
22.43999,559.7459,0
22.45999,557.2766,0
22.47999,554.8138,0
22.49999,552.3624,0
22.51999,549.9191,0
22.53999,547.4825,0
22.55999,545.0554,0
22.57999,542.6375,0
22.59999,540.2279,0
22.61999,537.8252,0
22.63999,535.4318,0
22.65999,533.0475,0
22.67999,530.6722,0
22.69999,528.3041,0
22.71999,525.9453,0
22.73999,523.5959,0
22.75999,521.2534,0
22.77999,518.9187,0
22.79999,516.592,0
22.81999,514.2745,0
22.83999,511.9661,0
22.85999,509.6635,0
22.87999,507.3707,0
22.89999,505.0836,0
22.91999,502.8083,0
22.93999,500.5383,0
22.95999,498.2763,0
22.97999,496.0223,0
22.99999,493.7769,0
23.01999,491.5387,0
23.03999,489.3086,0
23.05999,487.087,0
23.07999,484.875,0
23.09999,482.6713,0
23.11999,480.4749,0
23.13999,478.2877,0
23.15999,476.1054,0
23.17999,473.9332,0
23.19999,471.7667,0
23.21999,469.6123,0
23.23999,467.4625,0
23.25999,465.3228,0
23.27999,463.1914,0
23.29999,461.0672,0
23.31999,458.9506,0
23.33999,456.8418,0
23.35999,454.7406,0
23.37999,452.6473,0
23.39999,450.5582,0
23.41999,448.4806,0
23.43999,446.4093,0
23.45999,444.3487,0
23.47999,442.2926,0
23.49999,440.2467,0
23.51999,438.2054,0
23.53999,436.172,0
23.55999,434.1509,0
23.57999,432.1341,0
